Type,State,Name of Facility (consistent with State license where relevant),Provider Number,Street Address,Suburb,Postcode,Second-tier Eligible (Yes/No),Second-tier Expiry Date,"Second-tier Category - To facilitate calculation of second-tier default benefits by insurers, the department has categorised all declared private hospitals into the following categories:"
PUBLIC,WA,ALBANY HOSPITAL,0070050J,WARDEN AVENUE,ALBANY,6330,NO,,
PRIVATE,VIC,ALBERT ROAD CLINIC,0036710F,31 ALBERT ROAD,MELBOURNE,3004,YES,13-01-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,ALBURY DAY SURGERY,0657791J,4 BAKER COURT,ALBURY,2640,YES,17-04-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,ALBURY WODONGA HEALTH - ALBURY CAMPUS,0010560W,201 BORELLA ROAD,ALBURY,2640,NO,,
PUBLIC,VIC,ALBURY WODONGA HEALTH - WODONGA CAMPUS,0031390A,69 VERMONT STREET,WODONGA,3690,NO,,
PRIVATE,NSW,ALBURY WODONGA PRIVATE HOSPITAL,0016960X,1125 PEMBERTON STREET,ALBURY,2640,YES,27-10-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,VIC,ALEXANDRA DISTRICT HOSPITAL,0030010T,20 COOPER STREET,ALEXANDRA,3714,NO,,
PRIVATE,NSW,ALEXANDRIA SPECIALIST DAY HOSPITAL,0027000Y,15 BOWDEN STREET,ALEXANDRIA,2015,YES,29-07-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NT,ALICE SPRINGS HOSPITAL,0095020J,6 GAP ROAD,ALICE SPRINGS,870,NO,,
PRIVATE,NSW,ALLOWAH PRESBYTERIAN CHILDREN'S HOSPITAL,0015030B,8 PERRY STREET,DUNDAS,2117,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,QLD,ALPHA HOSPITAL,0050010F,1 BURNS  STREET,ALPHA,4724,NO,,
PUBLIC,VIC,ALPINE HEALTH (BRIGHT),0031740W,36-42 COBDEN STREET,BRIGHT,3741,NO,,
PUBLIC,VIC,ALPINE HEALTH (MOUNT BEAUTY),0031190J,10 HOLLONDS STREET,MT BEAUTY,3699,NO,,
PUBLIC,VIC,ALPINE HEALTH (MYRTLEFORD),0030790T,30 O'DONNELL AVENUE,MYRTLEFORD,3736,NO,,
PRIVATE,VIC,ALTONA ENDOSCOPY CENTRE,0043380T,CNR QUEEN & SARGOOD STREETS,ALTONA,3018,YES,24-11-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,ALWYN REHABILITATION HOSPITAL,0015040A,1 EMU STREET,STRATHFIELD,2135,NO,,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,SA,ANGASTON HOSPITAL,0060050B,29 NORTH STREET,ANGASTON,5353,NO,,
PUBLIC,VIC,ANGLISS HOSPITAL,0031330L,ALBERT STREET,UPPER FERNTREE GULLY,3156,NO,,
PRIVATE,NSW,ARCADIA PITTWATER PRIVATE HOSPITAL,0017560F,4 DAYDREAM STREET,WARRIEWOOD,2102,YES,06-01-22,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,SA,ARDROSSAN COMMUNITY HOSPITAL INC,0065390J,37 FIFTH STREET,ARDROSSAN,5571,NO,,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,WA,ARMADALE KELMSCOTT MEMORIAL HOSPITAL,0070040K,3056 ALBANY HIGHWAY,ARMADALE,6112,NO,,
PRIVATE,NSW,ARMIDALE PRIVATE HOSPITAL,0017190T,"NEW ENGLAND REGIONAL HOSPITAL, ARMIDALE CAMPUS, RUSDEN STREET",ARMIDALE,2350,YES,22-10-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,ARMIDALE RURAL REFERRAL HOSPITAL,0010570T,226 RUSDEN STREET,ARMIDALE,2350,NO,,
PRIVATE,VIC,ARROW HEALTH,0037010B,8 CARLISLE STREET,WOODEND,3442,YES,29-08-23,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PRIVATE,NSW,ARTARMON DAY SURGERY,0027520X,"SUITE 4, 448 PACIFIC HIGHWAY",ARTARMON,2064,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,ASHFORD COMMUNITY HOSPITAL,0065020L,55 ANZAC HIGHWAY,ASHFORD,5035,YES,09-02-23,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,QLD,ATHERTON HOSPITAL,0050030A,CNR LOUISE & JACK STREETS,ATHERTON,4883,NO,,
PRIVATE,WA,ATTADALE REHABILITATION HOSPITAL,0075360Y,21 HISLOP ROAD,ATTADALE,6156,YES,15-01-24,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PUBLIC,NSW,AUBURN HOSPITAL & COMMUNITY HEALTH SERVICES,0010020A,18-20 HARGRAVE ROAD,AUBURN,2144,NO,,
PUBLIC,QLD,AUGATHELLA HOSPITAL,0050040Y,CAVANAGH STREET,AUGATHELLA,4477,NO,,
PUBLIC,WA,AUGUSTA HOSPITAL,0071110F,DONOVAN STREET,AUGUSTA,6290,NO,,
PUBLIC,VIC,AUSTIN HEALTH - AUSTIN HOSPITAL,0030060F,145 STUDLEY ROAD,HEIDELBERG,3084,NO,,
PUBLIC,VIC,AUSTIN HEALTH - HEIDELBERG REPATRIATION HOSPITAL,0031620B,300 WATERDALE ROAD,HEIDELBERG WEST,3081,NO,,
PUBLIC,QLD,AYR HOSPITAL,0050050X,2 CHIPPENDALE STREET,AYR,4807,NO,,
PUBLIC,QLD,BABINDA HOSPITAL,0050060W,128 MUNRO STREET,BABINDA,4861,NO,,
PUBLIC,VIC,BAIRNSDALE REGIONAL HEALTH SERVICE,0030080A,122 DAY STREET,BAIRNSDALE,3875,NO,,
PUBLIC,SA,BALAKLAVA HOSPITAL,0060060A,16 WAR MEMORIAL DRIVE,BALAKLAVA,5461,NO,,
PRIVATE,VIC,BALLAN DISTRICT HEALTH & CARE,0036150Y,33 COWIE STREET,BALLAN,3342,YES,18-12-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,BALLARAT DAY PROCEDURE CENTRE,0043620T,1119-1123 HOWITT STREET,WENDOUREE,3350,YES,06-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,BALLARAT HEALTH SERVICES - QUEEN ELIZABETH CENTRE,0034220W,102 ASCOT STREET,BALLARAT,3350,NO,,
PUBLIC,VIC,BALLARAT HEALTH SERVICES (BASE HOSPITAL),0030090Y,1 DUMMOND STREET NORTH,BALLARAT CENTRAL,3350,NO,,
PRIVATE,VIC,BALLARAT SURGICENTRE,0044080X,"5-9 WOOD STREET, SOLDIERS HILL",BALLARAT,3350,YES,17-09-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,BALLINA DAY SURGERY,0027050K,"SUITE 6, 46 TAMAR STREET",BALLINA,2478,YES,07-08-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,BALLINA DISTRICT HOSPITAL,0010580L,78-92 CHERRY STREET,BALLINA,2478,NO,,
PUBLIC,NSW,BALMAIN HOSPITAL,0010030Y,29 BOOTH STREET,BALMAIN,2041,NO,,
PUBLIC,NSW,BALRANALD MULTI PURPOSE SERVICE,0010590K,41-43 COURT STREET,BALRANALD,2715,NO,,
PUBLIC,QLD,BAMAGA HOSPITAL,0051460T,238 SAGAUKAZ STREET,BAMAGA,4876,NO,,
PUBLIC,NSW,BANKSTOWN-LIDCOMBE HOSPITAL,0010040X,68 ELDRIDGE ROAD,BANKSTOWN,2200,NO,,
PUBLIC,NSW,BARADINE MULTI PURPOSE SERVICE,0011030L,5-9 MACQUARIE STREET,BARADINE,2396,NO,,
PUBLIC,QLD,BARALABA HOSPITAL,0050070T,STOPFORD STREET,BARALABA,4702,NO,,
PUBLIC,QLD,BARCALDINE HOSPITAL,0050080L,OAK STREET,BARCALDINE,4725,NO,,
PUBLIC,NSW,BARHAM KOONDROOK SOLDIERS MEMORIAL HOSPITAL,0010610A,70 PUNT ROAD,BARHAM,2732,NO,,
PRIVATE,NSW,BARINGA PRIVATE HOSPITAL,0016920F,31 MACKAYS ROAD,COFFS HARBOUR,2450,YES,21-03-23,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,SA,BARMERA HEALTH SERVICES,0060670X,HAWDON STREET,BARMERA,5345,NO,,
PUBLIC,NSW,BARRABA MULTI PURPOSE SERVICE,0010620Y,EDWARD STREET,BARRABA,2347,NO,,
PRIVATE,ACT,BARTON PRIVATE HOSPITAL,0097000X,2/9 SYDNEY AVENUE,BARTON,2600,YES,17-12-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,VIC,BARWON HEALTH - ASHLEY MANOR CAMPUS,0032040T,1 SUMMIT AVENUE,BELMONT,3216,NO,,
PUBLIC,VIC,BARWON HEALTH - GEELONG HOSPITAL CAMPUS,0030470J,BELLERINE STREET,GEELONG,3220,NO,,
PUBLIC,VIC,BARWON HEALTH - MCKELLAR CENTRE CAMPUS,0034090K,45-95 BALLARAT ROAD,NORTH GEELONG,3215,NO,,
PUBLIC,VIC,BARWON HEALTH - NEWCOMB RENAL UNIT CAMPUS,0032060K,104 BELLARINE HIGHWAY,NEWCOMB,3219,NO,,
PUBLIC,VIC,BARWON HEALTH - SOUTH GEELONG RENAL UNIT CAMPUS,0032070J,40 LT FYANS STREET,SOUTH GEELONG,3220,NO,,
PUBLIC,VIC,BARWON HEALTH NORTH,0032170F,155 PRINCESS HIGHWAY,NORLANE,3214,NO,,
PUBLIC,VIC,BASS COAST REGIONAL HEALTH,0031400T,235 GRAHAM STREET,WONTHAGGI,3995,NO,,
PUBLIC,NSW,BATEMANS BAY HOSPITAL,0010640W,7 PACIFIC STREET,BATEMANS BAY,2536,NO,,
PUBLIC,NSW,BATHURST BASE HOSPITAL,0010650T,361-365 HOWICK STREET,BATHURST,2795,NO,,
PRIVATE,NSW,BATHURST PRIVATE HOSPITAL,0017100K,GORMAN'S HILL ROAD,BATHURST,2795,YES,07-04-23,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,BATLOW/ADELONG MULTI PURPOSE SERVICE,0010660L,61-81 PIONEER STREET,BATLOW,2730,NO,,
PRIVATE,VIC,BAYSIDE DAY PROCEDURE AND SPECIALIST CENTRE,0043570J,141 CRANBOURNE ROAD,FRANKSTON,3199,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,BAYSIDE ENDOSCOPY DAY HOSPITAL,0895011H,441 SOUTH ROAD,BENTLEIGH,3204,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,VIC,BAYSWATER DAY PROCEDURE AND SPECIALIST CENTRE,0043650J,664 MOUNTAIN HIGHWAY,BAYSWATER,3153,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,TAS,BEACONSFIELD DISTRICT HEALTH SERVICE,0080080J,13 BOLTON STREET,BEACONSFIELD,7270,NO,,
PUBLIC,QLD,BEAUDESERT HOSPITAL,0050090K,64 TINA STREET,BEAUDESERT,4285,NO,,
PUBLIC,VIC,BEAUFORT & SKIPTON HEALTH SERVICES - BEAUFORT CAMPUS,0030990H,28 HAVELOCK STREET,BEAUFORT,3373,NO,,
PUBLIC,VIC,BEAUFORT & SKIPTON HEALTH SERVICES - SKIPTON CAMPUS,0030990H,BLAKE STREET,SKIPTON,3361,NO,,
PRIVATE,SA,BEDFORD DAY SURGERY,0067120T,1284 SOUTH ROAD,CLOVELLY PARK,5042,YES,21-05-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,BEECHWORTH HEALTH SERVICE,0031690K,52 SYDNEY ROAD,BEECHWORTH,3747,NO,,
PRIVATE,VIC,BELEURA PRIVATE HOSPITAL,0036200F,925 NEPEAN HIGHWAY,MORNINGTON,3931,YES,13-06-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,BELLBIRD PRIVATE HOSPITAL,0036230Y,198 CANTERBURY ROAD,BLACKBURN,3130,YES,04-06-21,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,NSW,BELLINGER RIVER DISTRICT HOSPITAL,0010680J,43 CHURCH STREET,BELLINGEN,2454,NO,,
PUBLIC,NSW,BELMONT HOSPITAL,0012550B,16 CROUDACE BAY ROAD,BELMONT,2280,NO,,
PRIVATE,QLD,BELMONT PRIVATE HOSPITAL,0055630B,1220 CREEK ROAD,CARINA,4152,YES,12-07-22,"A - private hospitals that provide psychiatric care, including treatment of addictions, for at least 50% of the episodes of hospital treatment, and do not fall into category (g)"
PUBLIC,VIC,BENALLA HEALTH,0030110K,45-53 COSTER STREET,BENALLA,3672,NO,,
PRIVATE,VIC,BENDIGO DAY SURGERY,0043950X,1 CHUM STREET,BENDIGO,3554,YES,05-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,BENDIGO HEALTH - THE BENDIGO HOSPITAL ,0030120J,100 BARNARD STREET,BENDIGO,3550,NO,,
PRIVATE,VIC,BENTLEIGH SURGICENTRE,0043850A,157 JASPER ROAD,BENTLEIGH,3204,YES,19-10-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,BENTLEY HEALTH SERVICE,0071150X,18-56 MILLS STREET,BENTLEY,6102,NO,,
PRIVATE,NSW,BERKELEY VALE PRIVATE HOSPITAL,0017020K,8 LORRAINE AVENUE,BERKELEY VALE,2261,YES,22-12-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,NSW,BERRIGAN WAR MEMORIAL HOSPITAL/MULTI PURPOSE SERVICE,0010700Y,47-49 DAVIS STREET,BERRIGAN,2712,NO,,
PRIVATE,VIC,BERWICK SURGICENTRE,0043540T,22 LANGMORE LANE,BERWICK,3806,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,WA,BETHESDA HOSPITAL,0075020X,25 QUEENSLEA DRIVE,CLAREMONT,6010,YES,26-12-22,"D - private hospitals that do not fall into categories (a), (b) or (g), with more than 50 licensed beds and up to and including 100 licensed beds"
PUBLIC,WA,BEVERLEY HOSPITAL,0070060H,SEWELL STREET,BEVERLEY,6304,NO,,
PUBLIC,QLD,BIGGENDEN MULTIPURPOSE HEALTH SERVICE,0050100B,57 ALICE STREET,BIGGENDEN,4621,NO,,
PUBLIC,QLD,BILOELA HOSPITAL,0050110A,2 HOSPITAL ROAD,BILOELA,4715,NO,,
PUBLIC,NSW,BINGARA MULTIPURPOSE SERVICE,0010710X,KEERA STREET,BINGARA,2404,NO,,
PUBLIC,QLD,BLACKALL HOSPITAL,0050130X,SHAMROCK STREET,BLACKALL,4472,NO,,
PUBLIC,NSW,BLACKTOWN HOSPITAL,0012490Y,BLACKTOWN ROAD,BLACKTOWN,2148,NO,,
PUBLIC,QLD,BLACKWATER HOSPITAL,0051570J,41 MACKENZIE STREET,BLACKWATER,4717,NO,,
PUBLIC,NSW,BLAYNEY MULTIPURPOSE SERVICE,0010720W,3 OSMAN STREET,BLAYNEY,2799,NO,,
PUBLIC,NSW,BLUE MOUNTAINS DISTRICT ANZAC MEMORIAL HOSPITAL,0010730T,CNR WOODLANDS AND GREAT WESTERN HIGHWAY,KATOOMBA,2780,NO,,
PUBLIC,WA,BODDINGTON HOSPITAL,0070070F,46-53 HOTHAM AVENUE,BODDINGTON,6390,NO,,
PUBLIC,NSW,BOGGABRI MULTI PURPOSE SERVICE,0010740L,3 WEE WAA STREET,BOGGABRI,2382,NO,,
PUBLIC,NSW,BOMBALA MULTI PURPOSE SERVICE,0010750K,126-128 WELLINGTON STREET,BOMBALA,2632,NO,,
PUBLIC,NSW,BONALBO HOSPITAL,0010760J,CLARENCE WAY,BONALBO,2469,NO,,
PRIVATE,NSW,BONDI JUNCTION ENDOSCOPY CENTRE,0836101F,56 GROSVENOR STREET,WOOLLAHRA,2025,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,NSW,BONDI JUNCTION PRIVATE HOSPITAL,0017220B,"LEVEL 1 & 2,  21 SPRING STREET",BONDI JUNCTION,2022,YES,28-08-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PUBLIC,SA,BOOLEROO CAMPUS,0060100J,74 STEPHENS STREET,BOOLEROO CENTRE,5482,NO,,
PUBLIC,QLD,BOONAH HOSPITAL,0050150T,11-17 LEONARD STREET,BOONAH,4310,NO,,
PUBLIC,NSW,BOOROWA MULTI PURPOSE SERVICE HOSPITAL,0010770H,62-80 DRY STREET,BOOROWA,2586,NO,,
PUBLIC,VIC,BOORT DISTRICT HEALTH,0030140F,31 KINIRY STREET,BOORT,3537,NO,,
PUBLIC,SA,BORDERTOWN MEMORIAL HOSPITAL,0060110H,23 SOUTH TERRACE,BORDERTOWN,5268,NO,,
PRIVATE,NSW,BOULEVARDE DAY SURGICAL CENTRE,0658091H,"8, 164-168 THE BOULEVARDE",FAIRFIELD HEIGHTS,2165,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,NSW,BOURKE MULTI PURPOSE SERVICE,0010780F,26 TARCOON STREET,BOURKE,2840,NO,,
PUBLIC,NSW,BOURKE STREET HEALTH SERVICE GOULBURN,0012020H,234 BOURKE STREET,GOULBURN,2580,NO,,
PUBLIC,QLD,BOWEN HOSPITAL,0050170K,GREGORY STREET,BOWEN,4805,NO,,
PUBLIC,NSW,BOWRAL HOSPITAL,0010690H,150 MONA ROAD,BOWRAL,2576,NO,,
PUBLIC,VIC,BOX HILL HOSPITAL,0030150B,51 NELSON ROAD,BOX HILL,3128,NO,,
PUBLIC,WA,BOYUP BROOK SOLDIERS MEMORIAL HOSPITAL,0070080B,HOSPITAL ROAD,BOYUP BROOK,6244,NO,,
PUBLIC,NSW,BRAESIDE HOSPITAL,0012830W,340 PRAIRIE VALE ROAD,PRAIRIEWOOD,2176,NO,,
PUBLIC,NSW,BRAIDWOOD MULTI PURPOSE SERVICE,0010790B,77 MONKITTEE STREET,BRAIDWOOD,2622,NO,,
PUBLIC,NSW,BREWARRINA MULTI PURPOSE SERVICE,0010820L,56 DOYLE STREET,BREWARRINA,2839,NO,,
PUBLIC,WA,BRIDGETOWN HOSPITAL,0070090A,16-18 PENINSULA ROAD,BRIDGETOWN,6255,NO,,
PRIVATE,SA,BRIGHTON DAY SURGERY,0931151B,1 JETTY ROAD,BRIGHTON,5048,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,SA,BRIGHTON DIALYSIS CLINIC,0930971X,361-365 BRIGHTON RD,HOVE,5048,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,ACT,BRINDABELLA ENDOSCOPY CENTRE,0999781K,5 DANN CLOSE,GARRAN,2605,YES,07-05-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,BRISBANE DAY HOSPITAL,0057150B,687 LOGAN ROAD,GREENSLOPES,4120,YES,13-08-21,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,BRISBANE ENDOSCOPY SERVICE,0656651H,"SUITES 16 & 17 MCCULLOUGH CENTRE, 259 MCCULLOUGH STREET",SUNNYBANK,4109,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,BRISBANE PRIVATE HOSPITAL,0055080W,259 WICKHAM TERRACE,BRISBANE,4000,YES,12-01-22,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,NSW,BRISBANE WATERS PRIVATE HOSPITAL,0016930B,21 VIDLER AVENUE,WOY WOY,2256,YES,07-10-22,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,VIC,BROADMEADOWS HEALTH SERVICE,0031920L,35 JOHNSTONE STREET,BROADMEADOWS,3047,NO,,
PUBLIC,NSW,BROKEN HILL BASE HOSPITAL,0010830K,176 THOMAS STREET,BROKEN HILL,2880,NO,,
PUBLIC,WA,BROOME HOSPITAL,0070110L,ROBINSON STREET,BROOME,6725,NO,,
PUBLIC,WA,BRUCE ROCK MEMORIAL HOSPITAL,0070120K,35 DUNSTALL STREET,BRUCE ROCK,6418,NO,,
PRIVATE,VIC,BRUNSWICK PRIVATE HOSPITAL,0035970T,82 MORELAND ROAD,BRUNSWICK,3056,YES,15-06-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,QLD,BUDERIM GASTROENTEROLOGY CENTRE (MAROOCHYDORE),0057110K,"SUITE 5, 102 WISES ROAD",MAROOCHYDORE,4558,YES,09-12-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PRIVATE,QLD,BUDERIM PRIVATE HOSPITAL,0055740X,12 ELSA WILSON DRIVE,BUDERIM,4556,YES,25-11-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PUBLIC,NSW,BULAHDELAH COMMUNITY HOSPITAL,0010840J,RICHMOND STREET,BULAHDELAH,2423,NO,,
PUBLIC,NSW,BULLI HOSPITAL,0010850H,29 HOSPITAL ROAD,BULLI,2516,NO,,
PRIVATE,WA,BUNBURY DAY HOSPITAL,0077130X,140 SPENCER ST,BUNBURY,6230,YES,24-10-22,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,BUNBURY HOSPITAL,0071120B,CNR ROBERTSON DRIVE & BUSSELL HIGHWAY,BUNBURY,6230,NO,,
PUBLIC,QLD,BUNDABERG HOSPITAL,0050210X,271 -275 BOURBONG STREET,BUNDABERG,4670,NO,,
PRIVATE,QLD,BUNDABERG PRIVATE DAY HOSPITAL,0057530L,51 COMMERCIAL STREET,KENSINGTON,4670,YES,05-01-23,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,VIC,BUNDOORA EXTENDED CARE CENTRE,0031760L,1231 PLENTY ROAD,BUNDOORA,3083,NO,,
PUBLIC,SA,BURRA HOSPITAL,0060120F,46 COMMERCIAL STREET,BURRA,5417,NO,,
PRIVATE,NSW,BURWOOD ENDOSCOPY CENTRE,0657191K,282 BURWOOD ROAD,BURWOOD,2134,NO,,G - private hospitals that provide episodes of hospital treatment only for periods of not more than 24 hours
PUBLIC,WA,BUSSELTON HOSPITAL,0070150F,MILL ROAD,BUSSELTON,6280,NO,,
PUBLIC,NSW,BYRON CENTRAL HOSPITAL,0012900X,54 EWINGSDALE ROAD,EWINGSDALE,2481,NO,,
PUBLIC,QLD,CABOOLTURE HOSPITAL,0051830F,20 DUNCAN STREET,CABOOLTURE,4510,NO,,
PRIVATE,QLD,CABOOLTURE PRIVATE HOSPITAL,0055900X,MCKEAN STREET,CABOOLTURE,4510,YES,09-06-22,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
PRIVATE,VIC,CABRINI BRIGHTON,0036620H,243 NEW STREET,BRIGHTON,3186,YES,15-09-21,"E - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, without an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,CABRINI ELSTERNWICK REHABILITATION,0036290J,494 GLENHUNTLY ROAD,ELSTERNWICK,3185,YES,15-09-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,CABRINI HOPETOUN REHABILITATION,0035350Y,2-6 HOPETOUN ROAD,ELSTERNWICK,3185,YES,15-09-21,"B - private hospitals that provide rehabilitation care for at least 50% of the episodes of hospital treatment, and do not fall into categories (a) or (g)"
PRIVATE,VIC,CABRINI MALVERN,0035790X,181-183 WATTLETREE ROAD,MALVERN,3144,YES,15-09-21,"F - private hospitals that do not fall into categories (a), (b) or (g), with more than 100 licensed beds, with either (or any combination of) an accident and emergency unit or a specialised cardiac care unit or an intensive care unit"
PRIVATE,VIC,CABRINI PRAHRAN,0035790X,646 HIGH STREET,PRAHRAN EAST,3181,YES,15-09-21,"C - private hospitals that do not fall into categories (a), (b) or (g), with up to and including 50 licensed beds"
